nodeId,role,event,seq,idx,tot,bytes,rssi,snr,toa_ms,t_ms,dt_ms
TIM,B404AD08B764,TX,WAIT_ACK_START,9,-1,-1,0,-,-,0,664296,141
TIM,B404AD08B764,TX,WAIT_ACK_TO,9,-1,-1,0,-,-,0,666161,1865
TIM,B404AD08B764,TX,RETRY_MSG,9,-1,-1,0,-,-,0,666226,65
TIM,B404AD08B764,TX,MSG_TX,9,-1,-1,25,-,-,113,666517,291
TIM,B404AD08B764,TX,WAIT_ACK_START,9,-1,-1,0,-,-,0,666659,142
TIM,B404AD08B764,TX,WAIT_ACK_TO,9,-1,-1,0,-,-,0,668525,1866
TIM,B404AD08B764,TX,RETRY_MSG,9,-1,-1,0,-,-,0,668591,66
TIM,B404AD08B764,TX,ABORT,9,-1,-1,0,-,-,0,668767,176
TIM,B404AD08B764,TX,MSG_TX,10,-1,-1,26,-,-,113,668985,218
TIM,B404AD08B764,TX,WAIT_ACK_START,10,-1,-1,0,-,-,0,669128,143
TIM,B404AD08B764,TX,WAIT_ACK_TO,10,-1,-1,0,-,-,0,670995,1867
TIM,B404AD08B764,TX,RETRY_MSG,10,-1,-1,0,-,-,0,671063,68
TIM,B404AD08B764,TX,MSG_TX,10,-1,-1,26,-,-,113,671499,436
TIM,B404AD08B764,TX,WAIT_ACK_START,10,-1,-1,0,-,-,0,671597,98
TIM,B404AD08B764,TX,WAIT_ACK_TO,10,-1,-1,0,-,-,0,673442,1845
TIM,B404AD08B764,TX,RETRY_MSG,10,-1,-1,0,-,-,0,673488,46
TIM,B404AD08B764,TX,MSG_TX,10,-1,-1,26,-,-,113,673782,294
TIM,B404AD08B764,TX,WAIT_ACK_START,10,-1,-1,0,-,-,0,673859,77
TIM,B404AD08B764,TX,WAIT_ACK_TO,10,-1,-1,0,-,-,0,675684,1825
TIM,B404AD08B764,TX,RETRY_MSG,10,-1,-1,0,-,-,0,675709,25
TIM,B404AD08B764,TX,ABORT,10,-1,-1,0,-,-,0,675844,135
